episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,4,21504,1024,21504,False,0,21,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-39,1648132359,2.578806161880493,59.29695773124695,58096,AORUS,192.168.1.21,59.29695773124695,21504,21,[],[],2818.671,363.292,0.734,1394877.495,581.699,1760.362,1.211,21504,21504,21504,1024,21504,8.233333333333334,22.899999999999995,0.4500000000000001,0.0003,226.77829146385193,-0.015640340803656727,226.78931325674057,0.7843549358658493,0.015077525373271783,2.1670186864212155,0.0010000000000000005
nan,nan,nan,nan,0,4,22528,1024,22528,False,0,22,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-42,1648132362,2.6682586669921875,61.965216398239136,58096,AORUS,192.168.1.21,61.965216398239136,22528,22,[],[],2818.537,363.309,0.813,1259299.624,587.568,1742.776,1.249,22528,22528,22528,1024,22528,7.975,23.0,0.4500000000000001,0.0003,204.1444702744484,-0.015275640762411058,204.15701526403427,0.8200130816549063,0.011064390732826723,2.2474916502833366,0.0010000000000000005
nan,nan,nan,nan,0,4,23552,1024,23552,False,0,23,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-45,1648132365,2.576563835144043,64.54178023338318,58096,AORUS,192.168.1.21,64.54178023338318,23552,23,[],[],2825.043,362.472,0.858,1193444.286,587.071,1744.252,1.295,23552,23552,23552,1024,23552,6.574999999999999,23.0,0.4500000000000001,0.0003,204.91322880983353,-0.011628032254520804,204.92104977369308,0.7891449988819659,0.013259633313282393,2.1587024219334126,0.0010000000000000005
nan,nan,nan,nan,0,4,24576,1024,24576,False,0,24,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-47,1648132367,2.679553270339966,67.22133350372314,58096,AORUS,192.168.1.21,67.22133350372314,24576,24,[],[],2824.689,362.518,0.846,1210804.944,596.325,1717.183,1.329,24576,24576,24576,1024,24576,7.699999999999999,22.975,0.4500000000000001,0.0003,144.82575696706772,-0.01480292237829417,144.83712327480316,0.8578462055884302,0.01250563741177762,2.1907212836667895,0.0010000000000000005
nan,nan,nan,nan,0,4,25600,1024,25600,False,0,25,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-50,1648132370,2.5346789360046387,69.75601243972778,58096,AORUS,192.168.1.21,69.75601243972778,25600,25,[],[],2834.23,361.297,0.815,1256573.229,592.427,1728.483,1.373,25600,25600,25600,1024,25600,7.733333333333333,22.933333333333334,0.4500000000000001,0.0003,171.8457503914833,-0.014761057536816224,171.8576099872589,0.8316307803615928,0.011253892795139109,2.16561974119395,0.0010000000000000005
nan,nan,nan,nan,0,4,26624,1024,26624,False,0,26,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-53,1648132373,2.534921407699585,72.29093384742737,58096,AORUS,192.168.1.21,72.29093384742737,26624,26,[],[],2616.925,391.299,0.826,1239063.929,585.07,1750.219,1.396,26624,26624,26624,1024,26624,5.875,23.0,0.4500000000000001,0.0003,118.95029145479202,-0.010706487417337485,118.95874655246735,0.8821338010020554,0.009621204140785343,2.078451312147081,0.0010000000000000005
nan,nan,nan,nan,0,4,27648,1024,27648,False,0,27,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-55,1648132375,2.660529851913452,74.95146369934082,58096,AORUS,192.168.1.21,74.95146369934082,27648,27,[],[],2610.712,392.23,0.835,1226222.605,591.562,1731.011,1.341,27648,27648,27648,1024,27648,6.325,22.9,0.4500000000000001,0.0003,101.66969767212868,-0.012140493345214054,101.67928543686867,0.8891664072871208,0.010155581921992507,2.0166872572153807,0.0010000000000000005
nan,nan,nan,nan,0,4,28672,1024,28672,False,0,28,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-32-58,1648132378,2.6484246253967285,77.59988832473755,58096,AORUS,192.168.1.21,77.59988832473755,28672,28,[],[],2616.78,391.321,0.821,1247086.904,590.818,1733.19,1.377,28672,28672,28672,1024,28672,5.7749999999999995,22.8,0.4500000000000001,0.0003,88.6416754424572,-0.01648333278717473,88.65554010868073,0.9071527477353811,0.010257769929921778,1.9967208672314882,0.0010000000000000005
nan,nan,nan,nan,0,4,29696,1024,29696,False,0,29,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-00,1648132380,2.561776876449585,80.16166520118713,58096,AORUS,192.168.1.21,80.16166520118713,29696,29,[],[],2615.859,391.458,0.812,1261111.459,588.493,1740.039,1.37,29696,29696,29696,1024,29696,5.866666666666667,22.8,0.4500000000000001,0.0003,82.97079145908356,-0.022454649268183857,82.98989683389664,0.9139286484569311,0.011586176815171803,1.864990626461804,0.0010000000000000005
nan,nan,nan,nan,0,4,30720,1024,30720,False,0,30,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-03,1648132383,2.587259531021118,82.74892473220825,58096,AORUS,192.168.1.21,82.74892473220825,30720,30,[],[],2614.109,391.721,0.773,1325525.368,588.589,1739.754,1.391,30720,30720,30720,1024,30720,6.025,22.8,0.4500000000000001,0.0003,72.57931697368622,-0.016293935652356595,72.59321814775467,0.9290145616978407,0.009318474662450171,1.799781084060669,0.0010000000000000005
